lambda,mse
0.001,0.020878427389784387
0.0013894954943731374,0.020582454745121166
0.0019306977288832496,0.019480721639481956
0.0026826957952797246,0.019149020549785418
0.003727593720314938,0.01865780486538874
0.005179474679231213,0.018415706649764732
0.0071968567300115215,0.0189909100276083
0.01,0.019439664307577965
0.013894954943731374,0.020889008045352566
0.019306977288832496,0.02154990206330343
0.026826957952797246,0.02240347246114178
0.0372759372031494,0.023737310481102315
0.0517947467923121,0.02660277234242294
0.07196856730011518,0.03026732714687319
0.1,0.03481886926938681
