h,SP500,EPU,FEDFUNDS,PAYEMS,INDPRO
0,0.0,81.34877864841867,-0.058269879077462235,-0.024159187467560555,-0.1538653131664681
1,-0.4696401883689547,43.8879694467301,-0.18758609303889726,-0.03264995734051733,-0.1082105368422359
2,1.2540718505347113,23.825840691043716,-0.26525393411838377,-0.058522269240755036,-0.3023850506630789
3,2.0393660170207633,17.457760219935643,-0.3168481233762874,-0.08483663275197603,-0.46932147793171325
4,2.0367245578863122,12.535273628304964,-0.35718979311218096,-0.10593093570133623,-0.542109556175565
5,1.9839590303868277,10.016812749363497,-0.38919883990039095,-0.12399912941725713,-0.5899733616594847
6,1.9339105249457087,8.592653008898537,-0.41582215104909764,-0.13817264334786708,-0.617869253703407
7,1.8748151875748318,7.406553579290095,-0.4371981559998241,-0.14836668005798936,-0.6287876188295948
8,1.8270313184522924,6.514552654857558,-0.4533649109478308,-0.15473962449598241,-0.6278054711284161
9,1.7902988129667203,5.8394476309048615,-0.4648676922528935,-0.15749595125608637,-0.6171977890811843
10,1.7649838874574817,5.291219562038935,-0.4722483678509455,-0.15685664512201591,-0.598523259460881
11,1.752609592195024,4.830285438301618,-0.4759895961650144,-0.15311979954664456,-0.5733125015281081
12,1.7529204417041886,4.430924629414606,-0.4765364646593944,-0.1465826178174347,-0.5427266149097038
13,1.764887635384383,4.074813636436054,-0.4742935674974563,-0.13754934286897888,-0.5077088438567277
14,1.787358289501912,3.7518487106483076,-0.4696288109305824,-0.12631529409276113,-0.469067525962576
15,1.8190475745437906,3.4554212432121867,-0.4628794740275639,-0.11316500773631204,-0.4274974384242404
16,1.8586626429578847,3.1811825613400875,-0.4543534176313213,-0.0983670714862778,-0.3836050529932814
17,1.9049565392022578,2.9262501966018406,-0.4443311655679355,-0.0821736664626178,-0.3379261671101775
18,1.9567517701114234,2.6886780080316273,-0.4330676759527442,-0.06481921613384779,-0.2909361576145217
19,2.0129533453033925,2.4670636214063055,-0.4207940779811874,-0.04652051514082166,-0.2430577954579926
20,2.0725572378691526,2.260359179038954,-0.407719207940926,-0.027476832557066604,-0.19466729597789703
21,2.1346512957497503,2.0677242982001074,-0.3940311111732394,-0.007870464166902107,-0.14609891376269182
22,2.1984139475952538,1.8884457506051622,-0.3798984363578415,0.01213266233161517,-0.09764874643296993
23,2.263110779410774,1.7218843668376485,-0.3654717755108906,0.032382234465183984,-0.04957796753893491
24,2.3280901586860785,1.567445260414737,-0.35088493765989687,0.05274277380766863,-0.0021156718366068354
25,2.3927782183706268,1.424559167367919,-0.3362561682965368,0.07309281395562298,0.04453856193454021
26,2.456673633534657,1.2926726745654615,-0.32168931192401395,0.09332407561887465,0.0902123157127
27,2.519342321165893,1.1712429150741637,-0.3072749212565604,0.11334064174885483,0.13475814487930562
28,2.5804122219237287,1.059735446426929,-0.2930913125806569,0.13305814641986688,0.17805153011056865
29,2.6395682273560754,0.9576237797180011,-0.2792055684787021,0.15240298126894078,0.21998895188951917
30,2.6965473080864357,0.8643899465834227,-0.2656744882266262,0.171311525176194,0.2604860762643867
31,2.7511338677279342,0.7795255477215824,-0.25254548670991644,0.18972939976207814,0.299476044702491
32,2.803155339985871,0.7025330286316511,-0.23985744261276015,0.20761075327096068,0.3369078627874833
33,2.8524780350038923,0.6329269846295319,-0.22764149689496307,0.22491757426268252,0.3727448839137753
34,2.8990032367952105,0.5702354005674649,-0.21592180266251132,0.24161903623219988,0.40696338472355753
35,2.94266354908854,0.5140007622128847,-0.20471622770341077,0.2576908737454181,0.4395512293903589
36,2.983419484704821,0.4637810126300191,-0.19403701106945428,0.27311479040043585,0.47050661995023024
