h,SP500,EPU,recession_attn,FEDFUNDS,PAYEMS,INDPRO
0,0.0,0.0,0.2356162503162925,-0.1344210358785149,-0.034022332281387756,-0.2570911056244738
1,-1.3588680931870023,-0.03796680716878436,0.10035779613069737,-0.2681265402106283,-0.0976887975695925,-0.6191933958190927
2,-2.7904799046591164,8.595445519076293,0.0773310398037118,-0.3789016458357664,-0.15554381213709334,-0.7677465411992906
3,-3.4496845858379883,1.6023912878051378,0.11156505262687523,-0.45563029620977846,-0.2211376249833248,-0.8601558352391109
4,-3.815179236097928,2.1270456748392976,0.08365945782178039,-0.5177589815474591,-0.291030759179886,-1.0699643324621868
5,-4.2363030253815745,4.019124683636252,0.06779278310646007,-0.5822477690609617,-0.36208064027995945,-1.2262021409681705
6,-4.748557513701702,2.4012754296625287,0.06618203364935646,-0.6406761602108436,-0.42733168146597894,-1.3334225709422223
7,-5.051212366586958,2.2090047037418232,0.05525782687195125,-0.6842838720331672,-0.4851044003132214,-1.4651753069253521
8,-5.426693525344307,2.7488652297863605,0.04566406593066615,-0.7251070556932724,-0.5471813168413274,-1.561287286160139
9,-5.646677212088216,2.3630167664481045,0.03728140998640414,-0.7667316153359892,-0.6050126310351472,-1.657166592854325
10,-5.920318251411486,2.0430746652214467,0.03027921399649146,-0.7915772261166862,-0.6564944727743006,-1.731457146467124
11,-6.096466996525659,1.8239743713304382,0.02215440692628627,-0.8120842025148215,-0.699702751721804,-1.8062690944316417
12,-6.278066438858314,1.6122138885187112,0.014696747906071565,-0.8292467421365585,-0.737503132587436,-1.8681514943961852
13,-6.327320156209554,1.2015742825428715,0.008267871689342806,-0.8402876825103902,-0.7713935536513926,-1.9061530898881944
14,-6.406551821952569,0.951943171779145,0.0029542278683624343,-0.8488607374090613,-0.8002045725855862,-1.939982487559439
15,-6.518523189852607,0.6284264600635985,-0.0031643631287471036,-0.8506922730186901,-0.823513007224046,-1.956788023461382
16,-6.587870962689456,0.33633466240845855,-0.007789715436286528,-0.8469067791568521,-0.8481754793417285,-1.9471857477421122
17,-6.644885713598916,0.03275620670677495,-0.011936449613019809,-0.8389773150821774,-0.8602857903029114,-1.9411337885079871
18,-6.640473190115798,-0.24113934684213598,-0.016706437853701066,-0.8229999382707787,-0.8751614605410127,-1.9322376615679737
19,-6.573634495110902,-0.48739479756293597,-0.020331627798035514,-0.8120339626127403,-0.8849418384314117,-1.9026219949572998
20,-6.570609467265023,-0.700952926256567,-0.024894835860712762,-0.8004733752493477,-0.8886214411339807,-1.8735887040830665
21,-6.565351827138555,-0.9233370323146083,-0.02738465108530048,-0.7832275427289017,-0.8979059773691987,-1.834790526414524
22,-6.558002291396462,-1.2943596447027605,-0.030940586720652374,-0.7553354842365677,-0.8983936534059217,-1.7976891894327125
23,-6.356213372642757,-1.4925359956384492,-0.034315902153039216,-0.7300332924368197,-0.8921559127377487,-1.7474249037323841
24,-6.2839604382686245,-1.7767836667976116,-0.03747662449011524,-0.7002559183282515,-0.8910383727947193,-1.7214043626720785
25,-6.217838359283731,-1.8346943336487593,-0.04016281688394962,-0.6717078856724185,-0.8833641942989613,-1.6914425937529982
26,-6.062312397901808,-2.0073346547179907,-0.0435791561823536,-0.6426588364860134,-0.8642665587019354,-1.635684574422648
27,-5.992635456337799,-2.2487053555314884,-0.04540708924639766,-0.6139893663604353,-0.8539497065122142,-1.606315153733079
28,-5.955506338225029,-2.4542901857889006,-0.04705995404528357,-0.5892283200044466,-0.8472876359388216,-1.5443888493531432
29,-5.79839136060489,-2.642862401875796,-0.04875767376071532,-0.5615460130068533,-0.8388245387608253,-1.500449200040291
30,-5.585538708922835,-2.80014086274714,-0.04949288246182325,-0.5314336757083977,-0.8164071745371839,-1.4503986261174915
31,-5.353238589074649,-2.9445319628455513,-0.04962094729156114,-0.4901019460810635,-0.7944968085646945,-1.3948095583279525
32,-5.142024000566414,-3.0163780560227336,-0.05171036725802078,-0.4538433221550028,-0.7790856176493854,-1.3466878913388656
33,-5.019494673568266,-3.196548822624945,-0.05205453290919774,-0.42010386963704416,-0.7733853382572865,-1.3034789794076156
34,-4.940675993208876,-3.3647816399528025,-0.05193491933287848,-0.39390888581089245,-0.7587495377878715,-1.2580923799542618
35,-4.844120549591668,-3.3968317094297436,-0.05321307083045224,-0.3647882517716847,-0.7369328587497045,-1.210256215550108
36,-4.745879304067931,-3.4825524208196796,-0.0539878986918646,-0.33276255423186213,-0.7166757049619449,-1.1665859107040222
