h,recession_attn,SP500,FEDFUNDS,PAYEMS,INDPRO
0,0.2614168885808666,-6.737216833857567,-0.1134162321139327,-0.0409455535103355,-0.22874445080206451
1,0.14519563421264228,-8.110802028926038,-0.2557358157062954,-0.11972944725577601,-0.5453890980564903
2,0.11421559228599071,-8.340931183315288,-0.3538004990163839,-0.1950315468074326,-0.9026068325340452
3,0.12654647727191443,-8.182061497512525,-0.43190870976897006,-0.2873080711496247,-1.1228363697266293
4,0.09852173504828635,-8.514259120033888,-0.5127266542407376,-0.38185325934084224,-1.372067481803722
5,0.0807681675776951,-8.881690428064294,-0.5806390449774987,-0.4767427886302204,-1.5697102693640315
6,0.07100489996355297,-9.054992915002485,-0.6405961542271339,-0.5657382224808472,-1.7338205137253546
7,0.05713501995776739,-9.178049836435674,-0.6942125075026068,-0.6518913169076733,-1.8711547160816597
8,0.044586890009539616,-9.283202390523048,-0.73580540077506,-0.7272803843681999,-2.0106549274801164
9,0.034625846463386394,-9.31982563947793,-0.7728036483617075,-0.8005611075931987,-2.1094984555276937
10,0.026703217144711026,-9.365668481069552,-0.8046918153441741,-0.8656775852085393,-2.2238417288702923
11,0.017703838937624436,-9.343488012186791,-0.8270600662499996,-0.9240178769737287,-2.3177582310394387
12,0.010709966311270278,-9.317393293184049,-0.8405252030405349,-0.977822685074032,-2.3710438639281124
13,0.003668160628320646,-9.315009423815818,-0.8562004713743874,-1.0234654510819723,-2.3994465727217555
14,-0.0039573731667793925,-9.242326027499358,-0.8639029435985721,-1.0591293664457135,-2.4231653977836953
15,-0.010060372201358149,-9.13805218995729,-0.8738474281701448,-1.0905449199014736,-2.4482830351875666
16,-0.01600522704554136,-9.044357518440862,-0.8749341275150547,-1.115077484972527,-2.4555972542827047
17,-0.02186731459859753,-9.011150159531715,-0.8716980696874718,-1.135764776365941,-2.4654533122471887
18,-0.02674234827612301,-8.94338691836732,-0.8613922036308008,-1.1487937122554446,-2.481517155014927
19,-0.03072771876131926,-8.840744379478817,-0.8485583229843581,-1.1626175554977687,-2.4732055188114925
20,-0.03506632437196561,-8.776722447446259,-0.8268092349929096,-1.1712507393726421,-2.4528059413756633
21,-0.038503655266388964,-8.589488728132796,-0.8045233804092741,-1.1746628985421999,-2.432572941924851
22,-0.04231130960373216,-8.44436612820533,-0.7683874458885329,-1.1731150886102655,-2.3928228962678397
23,-0.04496881904490855,-8.31765699182719,-0.7406227101085744,-1.1690468074249387,-2.3478827861106346
24,-0.04706901768903698,-8.230787224799258,-0.705336492669449,-1.1583341793761224,-2.311423336946699
25,-0.05146544497239599,-8.048182533809442,-0.6689768827767852,-1.1445431431705593,-2.247158985469575
26,-0.05392761980174302,-7.8939632398027015,-0.6320812946449024,-1.1300943055671142,-2.2258813468974066
27,-0.05574906426100707,-7.765089311823744,-0.5966511563045601,-1.1121014407245091,-2.17785241857542
28,-0.05864846989299947,-7.59539131185824,-0.5645071592418945,-1.094900009905746,-2.111212110018715
29,-0.05921387428864488,-7.342159516881984,-0.5316681205730435,-1.0740802586835683,-2.0436516793800767
30,-0.0602430842112616,-7.2494028607160095,-0.4915982720645354,-1.047832949834695,-1.986533158052243
31,-0.061892978682564194,-7.122527528420708,-0.45086291485905816,-1.020300377799166,-1.954867351370376
32,-0.06272241953682764,-6.966693310963915,-0.4223499878960544,-0.996562375552027,-1.8913522792619015
33,-0.06240124407658001,-6.813266243970246,-0.3925764922236279,-0.9824176329323361,-1.806313045412598
34,-0.06211015839458775,-6.571478670086982,-0.36619901718729364,-0.9638945907339479,-1.7270385873401195
35,-0.06254983266960981,-6.393887071885832,-0.32473579580194223,-0.9388863136925272,-1.6597232891376654
36,-0.06265258736955397,-6.2953861349798235,-0.2958965018078406,-0.9099374503619997,-1.621130804045978
