h,SP500,FEDFUNDS,PAYEMS,INDPRO,recession_attn
0,0.0,0.0,0.0,0.0,0.25808512240802495
1,-0.5108091773021329,-0.08150430410921418,-0.04668921895422026,-0.26841549195107567,0.13235470060932003
2,-1.0911644475927498,-0.16089039122583895,-0.08054485688783347,-0.38226910158551897,0.1008350151331645
3,-1.2383103941355247,-0.20953521379491666,-0.1266786821629993,-0.49658737045908385,0.12218291143066612
4,-1.4223166813539374,-0.2605534601455639,-0.1748141250105184,-0.6345025090145013,0.10467617274069646
5,-1.6691420181759669,-0.31149224943268905,-0.22236191513798798,-0.7351860166760085,0.09229182561029388
6,-1.8550003509899373,-0.35481284740458047,-0.26792643058233634,-0.8226359371898032,0.08796403523438197
7,-1.9992986981982104,-0.3938225351605886,-0.3115206670008095,-0.9030758020624815,0.0802738925086169
8,-2.1280275400748407,-0.4285919187762003,-0.3516856638834682,-0.970766346421539,0.07262234862320141
9,-2.2345260942094956,-0.4585249733746853,-0.38834788023256356,-1.0267997527946466,0.06620588843600558
10,-2.3204664621755384,-0.48389200785101394,-0.4212180090987269,-1.0732328737810946,0.05974871121309569
11,-2.3892316942678127,-0.5049267953061811,-0.45019461016505785,-1.1100184496976822,0.053426112831821644
12,-2.441835174154757,-0.5217036891675627,-0.4752383999186046,-1.1377652043613569,0.04743338928997596
13,-2.4795351833051287,-0.5344350161786541,-0.4964192253687094,-1.15717381130549,0.041654038703465214
14,-2.50379250467573,-0.5433386156324939,-0.5138233091383535,-1.1687821390837065,0.036089964985878055
15,-2.515633617565908,-0.5486279609196556,-0.5275875677801125,-1.1731351475715723,0.03077237997751616
16,-2.5160533279281716,-0.5505303112002801,-0.5378708883589924,-1.170803583988804,0.02569662604632944
17,-2.506028828119104,-0.5492807314959585,-0.544852233121577,-1.1623237074079,0.020865865569026483
18,-2.4864619579642246,-0.5451134610254973,-0.548722457874964,-1.1482232072477032,0.016287748975960876
19,-2.4582069065895116,-0.5382637084534678,-0.5496818939148204,-1.1290202329382,0.01196544750097054
20,-2.422089639700719,-0.5289651875190363,-0.5479355030948717,-1.1052183087813305,0.00790127309584204
21,-2.378901411806371,-0.5174482822166167,-0.5436908007122934,-1.0773057346145383,0.004097117949663971
22,-2.3294028234669275,-0.5039389107577755,-0.5371554057640263,-1.0457556651067152,0.0005533374628424523
23,-2.2743258712734127,-0.48865753617950386,-0.5285353530168202,-1.0110242535742073,-0.002730955455689393
24,-2.214373679290847,-0.47181814534065236,-0.5180335739937187,-0.9735498419767916,-0.005757737249547952
25,-2.15022022842319,-0.4536275067055379,-0.5058487352217993,-0.9337521464694986,-0.00853012947239634
26,-2.08251017804816,-0.4342845158607474,-0.4921742227617583,-0.8920314873015553,-0.01105231950360335
27,-2.011858230129015,-0.4139796488511061,-0.4771973294039061,-0.8487681512864591,-0.01332946332006855
28,-1.938848565862948,-0.39289451781899576,-0.46109857237296886,-0.8043219233647761,-0.015367613100767268
29,-1.8640343429688802,-0.3712015213030709,-0.4440511395821231,-0.7590317189460494,-0.017173630965021384
30,-1.7879372677203695,-0.34906357439117924,-0.4262204393297252,-0.7132153508996898,-0.018755098655039097
31,-1.7110472809436814,-0.32663391704873107,-0.40776374570071483,-0.6671694182369802,-0.02012023052479161
32,-1.6338223870588369,-0.3040559927473772,-0.3888299264655824,-0.621169310276988,-0.021277787283007367
33,-1.5566886226611718,-0.28146339196773756,-0.36955924645232785,-0.5754693190077537,-0.02223699133754301
34,-1.4800401706408648,-0.2589798552360004,-0.3500832384735522,-0.5303028537775984,-0.02300744528640113
35,-1.4042396172604354,-0.23671933084698882,-0.33052463582897806,-0.48588274952617755,-0.023599053689228933
36,-1.329618346437646,-0.2147860823674877,-0.31099736061137107,-0.4424016610370562,-0.024021948439300635
